Date,Open,High,Low,Close,Adj Close,Volume
2017-06-30,143.369995,143.570007,140.830002,141.429993,139.556961,2938700
2017-07-03,142.71000700000002,143.380005,139.240005,139.28999299999998,137.445297,1569700
2017-07-05,140.419998,142.699997,139.940002,142.529999,140.64238,2618900
2017-07-06,141.440002,144.720001,140.669998,143.889999,141.98439,2796700
2017-07-07,147.0,149.679993,146.440002,148.130005,146.168243,2956300
2017-07-10,148.729996,151.009995,147.860001,150.83999599999999,148.842331,2279000
2017-07-11,151.309998,154.820007,151.009995,153.720001,151.684204,2753800
2017-07-12,155.41000400000001,156.350006,152.919998,154.580002,152.532806,1782700
2017-07-13,155.050003,156.309998,154.16000400000001,154.940002,152.888031,1461100
2017-07-14,155.690002,157.610001,154.96000700000002,157.300003,155.21679699999999,1459800
2017-07-17,157.779999,158.309998,155.75,156.979996,154.901016,1657900
2017-07-18,157.0,159.58999599999999,156.240005,159.350006,157.23963899999998,1832000
2017-07-19,160.5,164.550003,160.25,164.229996,162.054993,2711700
2017-07-20,164.979996,165.119995,161.820007,164.800003,162.61746200000002,2375900
2017-07-21,163.919998,163.919998,162.28999299999998,163.529999,161.364273,1847400
2017-07-24,163.5,164.679993,163.149994,164.119995,161.946457,1445700
2017-07-25,164.080002,164.820007,162.479996,164.46000700000002,162.28196699999998,2082800
2017-07-26,165.399994,168.440002,165.220001,168.33999599999999,166.11058,3310800
2017-07-27,168.919998,170.0,161.270004,164.759995,162.57798799999998,5665200
2017-07-28,164.25,164.970001,160.779999,161.600006,159.459839,2740000
2017-07-31,162.600006,163.0,158.78999299999998,159.46000700000002,157.348175,2437700
2017-08-01,160.440002,160.490005,157.169998,157.46000700000002,155.37468,2592500
2017-08-02,158.970001,158.979996,149.770004,151.550003,149.542953,4787200
2017-08-03,149.5,151.490005,148.259995,148.899994,146.92803999999998,3146100
2017-08-04,149.350006,152.259995,148.360001,150.050003,148.06278999999998,2153800
2017-08-07,150.449997,155.899994,150.03999299999998,155.83999599999999,153.776108,2751800
2017-08-08,155.850006,157.860001,154.050003,155.75,153.68731699999998,2753200
2017-08-09,155.46000700000002,156.360001,153.369995,155.199997,153.144608,1956400
2017-08-10,153.860001,154.190002,149.03999299999998,149.440002,147.460876,2613400
2017-08-11,149.850006,154.429993,149.820007,154.259995,152.217056,1790900
2017-08-14,156.600006,158.919998,156.21000700000002,158.550003,156.45022600000001,2126300
2017-08-15,158.58999599999999,160.610001,157.770004,160.21000700000002,158.088257,1817400
2017-08-16,161.449997,165.190002,160.639999,163.220001,161.05838,5098800
2017-08-17,162.5,163.570007,158.300003,158.46000700000002,156.36141999999998,1960500
2017-08-18,160.199997,161.869995,158.350006,160.490005,158.36454799999998,1924600
2017-08-21,161.119995,161.46000700000002,157.020004,158.399994,156.3022,1554800
2017-08-22,159.21000700000002,164.169998,159.21000700000002,163.809998,161.640579,2522300
2017-08-23,163.139999,163.970001,160.740005,161.699997,159.558502,1815800
2017-08-24,162.21000700000002,162.800003,158.08999599999999,158.820007,156.71666000000002,1473700
2017-08-25,159.300003,159.970001,156.520004,157.860001,155.769363,1271900
2017-08-28,158.330002,161.03999299999998,157.740005,160.669998,158.54216,1258200
2017-08-29,158.619995,162.83999599999999,158.100006,162.320007,160.170319,1232100
2017-08-30,162.429993,165.0,161.770004,164.990005,162.804947,1571300
2017-08-31,165.619995,167.320007,165.179993,165.979996,163.78183,1792400
2017-09-01,166.020004,169.149994,165.440002,166.860001,164.65016200000002,1570600
2017-09-05,165.690002,166.399994,162.520004,164.100006,161.926743,1538300
2017-09-06,165.25,165.850006,163.03999299999998,165.009995,162.82466100000002,1942100
2017-09-07,165.330002,168.699997,164.83999599999999,168.58999599999999,166.357269,1357000
2017-09-08,167.740005,168.699997,165.300003,165.75,163.554871,1729600
2017-09-11,167.509995,170.649994,167.41000400000001,169.96000700000002,167.709122,1882800
2017-09-12,170.220001,172.559998,168.929993,171.669998,169.84616100000002,1689700
2017-09-13,172.28999299999998,172.490005,169.880005,171.520004,169.697769,1427100
2017-09-14,170.83999599999999,174.369995,170.28999299999998,172.580002,170.746506,1942200
2017-09-15,172.610001,174.130005,171.850006,172.990005,171.152145,2691100
2017-09-18,174.41000400000001,178.179993,173.949997,177.309998,175.42623899999998,2820000
2017-09-19,177.570007,178.029999,176.0,177.119995,175.238281,2147100
2017-09-20,177.41000400000001,177.639999,170.399994,173.020004,171.181839,2341900
2017-09-21,173.169998,173.53999299999998,170.130005,172.279999,170.449692,2165700
2017-09-22,171.71000700000002,176.96000700000002,171.399994,176.729996,174.852417,1582800
2017-09-25,176.0,176.0,170.0,170.169998,168.362106,2213000
2017-09-26,172.320007,172.66000400000001,167.520004,169.440002,167.639877,2549800
2017-09-27,175.100006,180.630005,173.059998,179.389999,177.484146,3040300
2017-09-28,178.58999599999999,182.080002,177.690002,181.820007,179.888351,2061700
2017-09-29,182.899994,185.229996,181.419998,185.03999299999998,183.074112,1789300
2017-10-02,185.03999299999998,187.570007,183.449997,185.949997,183.974457,2101500
2017-10-03,186.509995,186.699997,182.820007,184.869995,182.90593,1482600
2017-10-04,183.970001,185.270004,182.100006,185.020004,183.054337,2364600
2017-10-05,185.270004,185.570007,180.78999299999998,182.820007,180.877731,1589300
2017-10-06,182.580002,185.029999,182.360001,184.830002,182.866348,1016800
2017-10-09,185.0,185.949997,183.729996,184.66000400000001,182.698166,1113100
2017-10-10,186.130005,186.350006,181.949997,184.899994,182.935623,1570800
2017-10-11,184.220001,186.21000700000002,183.949997,186.179993,184.202026,1627900
2017-10-12,186.110001,189.110001,186.110001,186.990005,185.00341799999998,2138700
2017-10-13,188.639999,190.309998,187.520004,189.899994,187.88249199999998,1557100
2017-10-16,191.0,193.850006,190.33999599999999,192.360001,190.31636,2836300
2017-10-17,195.08999599999999,195.490005,191.899994,194.550003,192.483109,3837000
2017-10-18,197.080002,200.91000400000001,193.119995,200.490005,198.35998500000002,5396300
2017-10-19,198.389999,201.0,194.929993,200.979996,198.844788,3019500
2017-10-20,202.5,206.33999599999999,202.440002,205.33999599999999,203.158478,3105200
2017-10-23,206.220001,208.41000400000001,204.050003,205.889999,203.702637,2842600
2017-10-24,206.669998,206.759995,203.270004,205.83999599999999,203.653152,1975600
2017-10-25,205.800003,205.800003,199.0,203.070007,200.91258200000001,2662000
2017-10-26,204.699997,208.649994,204.279999,206.779999,204.58316000000002,1869200
2017-10-27,208.059998,208.399994,204.5,208.0,205.790192,1984700
2017-10-30,206.869995,208.199997,204.5,206.199997,204.009323,1389500
2017-10-31,207.330002,210.08999599999999,206.520004,208.570007,206.354141,1646400
2017-11-01,210.44999700000002,210.44999700000002,200.53999299999998,202.919998,200.76416,2806400
2017-11-02,203.0,207.020004,201.509995,206.820007,204.622757,2365800
2017-11-03,207.199997,207.949997,205.020004,207.070007,204.870102,1882800
2017-11-06,207.570007,207.869995,204.399994,206.669998,204.474335,2248400
2017-11-07,206.580002,209.850006,206.5,209.190002,206.967575,1360200
2017-11-08,209.199997,211.41000400000001,206.880005,211.24000499999997,208.995804,1565000
2017-11-09,209.380005,209.830002,203.25,206.28999299999998,204.098373,2125100
2017-11-10,205.860001,207.649994,204.559998,207.389999,205.186676,1715600
2017-11-13,205.369995,209.369995,204.559998,209.229996,207.007126,1457600
2017-11-14,208.759995,209.399994,206.550003,208.639999,206.423416,1005200
2017-11-15,210.0,210.850006,206.050003,207.860001,205.65168799999998,2177800
2017-11-16,208.509995,214.72000099999997,208.5,213.22000099999997,210.954758,2259500
